name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
The Trace Senior Community,,,,,,,,,,,,,,,,,,,,,http://www.thetrace.com,http://www.lalaonline.org/members/?id=25706392,,,,,,,,,,,,,,,,,,,,Covington,,,,,,USA,,,,False
"Judie Palmisano, The Trace Senior Community",,,,,,,,,,,,,,,,,,,,,http://www.thetrace.com,http://www.lalaonline.org/members/?id=37788940,,,,,,,,,,,,,,,,,,,,Covington,,,,,,USA,,,,False
"Diane Moody, Business Office Manager, The Trace Senior Community",,,,,,,,,,,,,,,,,,,,,http://www.thetrace.com,http://www.lalaonline.org/members/?id=37788921,,,,,,,,,,,,,,,,,,,,Covington,,,,,,USA,,,,False
The Suites at Sugar Mill Point,,,,,,,,,,,,,,,,,,,,,http://www.sugarmillpoint.net/,http://www.lalaonline.org/members/?id=25578828,,,,,,,,,,,,,,,,,,,,Houma,,,,,70360,USA,29.5957696,-90.71953479999999,,False
"Debi Sunseri, The Trace Senior Community",,,,,,,,,,,,,,,,,,,,,http://www.thetrace.com,http://www.lalaonline.org/members/?id=37788929,,,,,,,,,,,,,,,,,,,,Covington,,,,,,USA,,,,False
The Homestead Assisted Living,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578825,,,,,,,,,,,,,,,,,,,,Houma,,,,,70360,USA,29.5957696,-90.71953479999999,,False
The Haven at Windermere & The Haven II,,,,,,,,,,,,,,,,,,,,,http://www.thehavenbr.com/,http://www.lalaonline.org/members/?id=25578824,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70810,USA,30.4582829,-91.1403196,,False
"Tina Durham or Current Manager, The Pearl at Jamestown",,,,,,,,,,,,,,,,,,,,,http://.www.phoenixseniorliving.com,http://www.lalaonline.org/members/?id=42293533,,,,,,,,,,,,,,,,,14443 Perkins Rd,,,Baton Rouge,,,,,70810,USA,30.3631411,-91.05809529999999,South Baton Rouge,True
"Billie J. LaJaunie, The Homestead Assisted Living",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25706389,,,,,,,,,,,,,,,,,,,,Houma,,,,,70360,USA,29.5957696,-90.71953479999999,,False
The Pearl at Jamestown,,,,,,,,,,,,,,,,,,,,,http://.www.phoenixseniorliving.com,http://www.lalaonline.org/members/?id=41551260,,,,,,,,,,,,,,,,,14443 Perkins Rd,,,Baton Rouge,,,,,70810,USA,30.3631411,-91.05809529999999,South Baton Rouge,True
The Chateaus at Montclair,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25747166,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
"Brandy Lirette, Director of Wellness, The Claiborne at Thibodaux",,,,,,,,,,,,,,,,,,,,,http://www.theClaiborne.com,http://www.lalaonline.org/members/?id=48749823,,,,,,,,,,,,,,,,,,,,Thibodaux,,,,,70301,USA,29.7957633,-90.82287099999999,,False
The Cottages at The Glen,,,,,,,,,,,,,,,,,,,,,http://www.theglensystem.org/home/,http://www.lalaonline.org/members/?id=25578820,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
The Blake at Lafayette,,,,,,,,,,,,,,,,,,,,,http://blakeliving.com/locations/lafayette/,http://www.lalaonline.org/members/?id=25578818,,,,,,,,,,,,,,,,,,,,Lafayette,,,,,70508,USA,37.8857582,-122.1180201,,False
The Blake at The Grove,,,,,,,,,,,,,,,,,,,,,http://www.blakeliving.com/thegrove/home/,http://www.lalaonline.org/members/?id=43680741,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70836,USA,30.4582829,-91.1403196,,False
The Arbor and Terrace of Ruston,,,,,,,,,,,,,,,,,,,,,http://www.arborandterraceofruston.com/index.htm,http://www.lalaonline.org/members/?id=25578816,,,,,,,,,,,,,,,,,,,,Ruston,,,,,71270,USA,32.5232053,-92.63792699999999,,False
The Claiborne at Thibodaux,,,,,,,,,,,,,,,,,,,,,http://www.theClaiborne.com,http://www.lalaonline.org/members/?id=34026185,,,,,,,,,,,,,,,,,,,,Thibodaux,,,,,70301,USA,29.7957633,-90.82287099999999,,False
The Stiles Apartments,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578826,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
Sunrise of Metairie,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578814,,,,,,,,,,,,,,,,,,,,Metairie,,,,,70002,USA,29.9840922,-90.1528519,,False
Sunrise at Siegen,,,,,,,,,,,,,,,,,,,,,http://www.sunriseseniorliving.com/,http://www.lalaonline.org/members/?id=25578811,,,,,,,,,,,,,,,,,,,,Baton Rouge  LA,,,,,70810,USA,30.4582829,-91.1403196,,False
"Ryan Rogers, Executive Director, Sunrise at Siegen",,,,,,,,,,,,,,,,,,,,,http://www.sunriseseniorliving.com/,http://www.lalaonline.org/members/?id=25706380,,,,,,,,,,,,,,,,,,,,Baton Rouge  LA,,,,,70810,USA,30.4582829,-91.1403196,,False
"Muriel Ryder, Executive Director, The Arbor and Terrace of Ruston",,,,,,,,,,,,,,,,,,,,,http://www.arborandterraceofruston.com/index.htm,http://www.lalaonline.org/members/?id=25706383,,,,,,,,,,,,,,,,,,,,Ruston,,,,,71270,USA,32.5232053,-92.63792699999999,,False
Sunrise of Baton Rouge,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578812,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70809,USA,30.4582829,-91.1403196,,False
Sullivan Stolier,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=43031779,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70112,USA,29.95106579999999,-90.0715323,,False
St. Joseph Manor,,,,,,,,,,,,,,,,,,,,,http://www.stjosephmanor.org,http://www.lalaonline.org/members/?id=25578809,,,,,,,,,,,,,,,,,,,,Thibodaux,,,,,70301,USA,29.7957633,-90.82287099999999,,False
Starvision Satellite Technology,,,,,,,,,,,,,,,,,,,,,http://www.starvisionsat.com,http://www.lalaonline.org/members/?id=37751050,,,,,,,,,,,,,,,,,13420 Hwy,,,Gulfport,,,,,39503,USA,30.3674198,-89.0928155,,True
STAT Home Health,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=44897481,,,,,,,,,,,,,,,,,8039 Line Ave,suite,,Shreveport,,,,,71106,USA,32.4306764,-93.7441463,"Springlake, University Terrace",True
St. James Place,,,,,,,,,,,,,,,,,,,,,http://stjamesplace.org/,http://www.lalaonline.org/members/?id=25578807,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
St. Francis Villa,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25706375,,,,,,,,,,,,,,,,,,,,River Ridge,,,,,70123,USA,35.7210425,-78.520073,Old River Ridge,False
StoneBridge Place,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578810,,,,,,,,,,,,,,,,,,,,Sulphur,,,,,70663,USA,30.2365943,-93.37737829999999,,False
"Ann Thibodaux, Executive Director, St. Joseph Manor",,,,,,,,,,,,,,,,,,,,,http://www.stjosephmanor.org,http://www.lalaonline.org/members/?id=25706378,,,,,,,,,,,,,,,,,,,,Thibodaux,,,,,70301,USA,29.7957633,-90.82287099999999,,False
Southwind Senior Living Suites,,,,,,,,,,,,,,,,,,,,,http://www.southwindsuites.org,http://www.lalaonline.org/members/?id=25706374,,,,,,,,,,,,,,,,,,,,Crowley,,,,,,USA,,,,False
"Ashley Spera, CNA Supervisor, Southside Gardens",,,,,,,,,,,,,,,,,,,,,http://www.southsidegardens.com,http://www.lalaonline.org/members/?id=38831141,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
Southside Gardens,,,,,,,,,,,,,,,,,,,,,http://www.southsidegardens.com,http://www.lalaonline.org/members/?id=25578803,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
St. James Place,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=38999105,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
Senior Living Management,,,,,,,,,,,,,,,,,,,,,http://www.SLM.net,http://www.lalaonline.org/members/?id=38627664,,,,,,,,,,,,,,,,,,,,Bossier City,,,,,71111,USA,32.51598519999999,-93.7321228,,False
"SkyPath Satellite Systems, Inc.",,,,,,,,,,,,,,,,,,,,,http://www.skypathsystems.com/,http://www.lalaonline.org/members/?id=25580195,,,,,,,,,,,,,,,,,,,,Grapevine,,,,,76051,USA,32.9342919,-97.0780654,,False
"Shyrell Parker, Director, Southside Gardens",,,,,,,,,,,,,,,,,,,,,http://www.southsidegardens.com,http://www.lalaonline.org/members/?id=33818601,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
Schonberg And Associates,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=41786662,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,False
Southern Pines Retirement Community,,,,,,,,,,,,,,,,,,,,,http://www.southernpineswalker.com/,http://www.lalaonline.org/members/?id=25578802,,,,,,,,,,,,,,,,,,,,Walker,,,,,70785,USA,33.8563605,-87.30161319999999,,False
Schonberg And Associates,,,,,,,,,,,,,,,,,,,,,http://schonbergandassoc.com/,http://www.lalaonline.org/members/?id=25706396,,,,,,,,,,,,,,,,,,,,Metairie,,,,,70005,USA,29.9840922,-90.1528519,,False
Senior TV,,,,,,,,,,,,,,,,,,,,,http://www.SeniorTV.com,http://www.lalaonline.org/members/?id=35413289,,,,,,,,,,,,,,,,,,,,Akron,,,,,44310,USA,41.08144469999999,-81.51900529999999,,False
Savannah Grand of West Monroe,,,,,,,,,,,,,,,,,,,,,http://www.SavannahGrandWestMonroe@slm.net,http://www.lalaonline.org/members/?id=33561237,,,,,,,,,,,,,,,,,,,,West Monroe,,,,,71291,USA,32.5184775,-92.14763529999999,,False
Schonberg and Associates,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=44123216,,,,,,,,,,,,,,,,,,,,Metairie,,,,,70005,USA,29.9840922,-90.1528519,,False
Savannah at The Oaks,,,,,,,,,,,,,,,,,,,,,http://www.oaksofla.com/Savannah,http://www.lalaonline.org/members/?id=25578799,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
Savannah Grand of Bossier City,,,,,,,,,,,,,,,,,,,,,http://www.SavannahGrandBossierCity@slm.net,http://www.lalaonline.org/members/?id=33645665,,,,,,,,,,,,,,,,,,,,Bossier City,,,,,71111,USA,32.51598519999999,-93.7321228,,False
Savannah Court of Minden,,,,,,,,,,,,,,,,,,,,,http://www.SavannahCourtMinden.com,http://www.lalaonline.org/members/?id=33732725,,,,,,,,,,,,,,,,,,,,Minden,,,,,71055,USA,32.6154278,-93.2868354,,False
SAIA Health Solutions,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=43072709,,,,,,,,,,,,,,,,,8146 One Calais Ave,Suite,,Baton Rouge,,,,,70809,USA,30.4049122,-91.099752,South Baton Rouge,True
Rosewood Retirement & Assisted Living,,,,,,,,,,,,,,,,,,,,,http://www.rosewoodretirement.com/,http://www.lalaonline.org/members/?id=25578798,,,,,,,,,,,,,,,,,,,,Lafayette,,,,,70508,USA,37.8857582,-122.1180201,,False
Savannah Court of Bastrop,,,,,,,,,,,,,,,,,,,,,http://www.SavannahCourtBastrop@slm.net,http://www.lalaonline.org/members/?id=33732769,,,,,,,,,,,,,,,,,,,,Bastrop,,,,,71220,USA,30.1104947,-97.3152701,,False
"Nicol Hannie, Rosewood Retirement & Assisted Living",,,,,,,,,,,,,,,,,,,,,http://www.rosewoodretirement.com/,http://www.lalaonline.org/members/?id=25706369,,,,,,,,,,,,,,,,,,,,Lafayette,,,,,70508,USA,37.8857582,-122.1180201,,False
"Risk Management Providers, Inc.",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25580194,,,,,,,,,,,,,,,,,,,,Atlanta,,,,,30339,USA,33.7489954,-84.3879824,,False
Provident Resources Group,,,,,,,,,,,,,,,,,,,,,http://ww.provident.org,http://www.lalaonline.org/members/?id=26961793,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70808,USA,30.4582829,-91.1403196,,False
RehabCare,,,,,,,,,,,,,,,,,,,,,http://www.rehabcare.com,http://www.lalaonline.org/members/?id=25914435,,,,,,,,,,,,,,,,,,,,Louisville,,,,,40202,USA,38.25266469999999,-85.7584557,,False
Point Click Care,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=49444752,,,,,,,,,,,,,,,,,123 Arbor Pl,,,Bossier City,,,,,71111,USA,32.5886714,-93.720753,,True
Peristyle Richland House,,,,,,,,,,,,,,,,,,,,,http://www.peristyleresidences.com/,http://www.lalaonline.org/members/?id=35360424,,,,,,,,,,,,,,,,,,,,Metairie,,,,,70003,USA,29.9840922,-90.1528519,,False
River Forest Home,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=50149533,,,,,,,,,,,,,,,,,145 Terra Bella Blvd,,,Covington,,,,,70433,USA,30.46994700000001,-90.142922,,True
Reinhart Food Service,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25580193,,,,,,,,,,,,,,,,,,,,Harahan,,,,,70123,USA,29.9404826,-90.2031313,,False
Peristyle Metairie Heights,,,,,,,,,,,,,,,,,,,,,http://peristyleresidences.com,http://www.lalaonline.org/members/?id=25847167,,,,,,,,,,,,,,,,,,,,Metairie,,,,,70002,USA,29.9840922,-90.1528519,,False
Poydras Home,,,,,,,,,,,,,,,,,,,,,http://www.poydrashome.com,http://www.lalaonline.org/members/?id=25578797,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70115,USA,29.95106579999999,-90.0715323,,False
Peristyle - Henican House,,,,,,,,,,,,,,,,,,,,,http://www.peristyleresidences.com/,http://www.lalaonline.org/members/?id=35360434,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70119,USA,29.95106579999999,-90.0715323,,False
Peristyle - Lakeview,,,,,,,,,,,,,,,,,,,,,http://www.peristyleresidences.com/,http://www.lalaonline.org/members/?id=35360445,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70124,USA,29.95106579999999,-90.0715323,,False
Peristyle Lake Louise,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=48965274,,,,,,,,,,,,,,,,,4613 Lake Louise Ave,,,Metairie,,,,,70006,USA,30.0182572,-90.18171550000001,,True
Peristyle Honeysuckle House,,,,,,,,,,,,,,,,,,,,,http://www.peristyleresidences.com,http://www.lalaonline.org/members/?id=33730620,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70119,USA,29.95106579999999,-90.0715323,,False
Passages Hospice,,,,,,,,,,,,,,,,,,,,,http://www.passages-hospice.com/,http://www.lalaonline.org/members/?id=39720511,,,,,,,,,,,,,,,,,617 Dublin St,,,New Orleans,,,,,70118,USA,29.944032,-90.13446379999999,Uptown/Carrollton,True
Our House for Respite - Plaquemine,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25706366,,,,,,,,,,,,,,,,,,,,Plaquemine,,,,,70764,USA,30.2890833,-91.23427439999999,,False
"Audrey Baker, Business Development, Park Provence Assisted Living & Memory Care",,,,,,,,,,,,,,,,,,,,,http://www.parkprovence.com/,http://www.lalaonline.org/members/?id=25706336,,,,,,,,,,,,,,,,,,,,Slidell,,,,,70458,USA,30.27519449999999,-89.78117449999999,,False
Our House for Respite - Baton Rouge,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578795,,,,,,,,,,,,,,,,,,,,Baton Rouge,,,,,70809,USA,30.4582829,-91.1403196,,False
Park Provence Assisted Living & Memory Care,,,,,,,,,,,,,,,,,,,,,http://www.parkprovence.com/,http://www.lalaonline.org/members/?id=25578762,,,,,,,,,,,,,,,,,,,,Slidell,,,,,70458,USA,30.27519449999999,-89.78117449999999,,False
Oceans Behavioral Hospital,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=30350488,,,,,,,,,,,,,,,,,,,,Plano,,,,,75024,USA,33.01984309999999,-96.6988856,,False
Oakwood Village Assisted Living,,,,,,,,,,,,,,,,,,,,,http://www.Oakwood-Living.com,http://www.lalaonline.org/members/?id=25578794,,,,,,,,,,,,,,,,,,,,Zachary,,,,,70791,USA,30.64851909999999,-91.1564961,,False
"Omnicare, A CVS Health Co.",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25580192,,,,,,,,,,,,,,,,,,,,Jefferson,,,,,70123,USA,39.5800298,-105.2662931,,False
OakMont Estate Assisted Living,,,,,,,,,,,,,,,,,,,,,http://oakmontassistedliving.com/aboutoakmont.html,http://www.lalaonline.org/members/?id=25578793,,,,,,,,,,,,,,,,,,,,Mansura,,,,,71350,USA,31.0579664,-92.049012,,False
"Melissa Loughman, Executive Director, OakMont Estate Assisted Living",,,,,,,,,,,,,,,,,,,,,http://oakmontassistedliving.com/aboutoakmont.html,http://www.lalaonline.org/members/?id=25706362,,,,,,,,,,,,,,,,,,,,Mansura,,,,,71350,USA,31.0579664,-92.049012,,False
"Nexion Health at Maison Jardin, Inc.",,,,,,,,,,,,,,,,,,,,,http://www.maisonjardinslc.com/,http://www.lalaonline.org/members/?id=25578790,,,,,,,,,,,,,,,,,,,,Morgan City,,,,,70380,USA,29.6993748,-91.20676999999999,,False
"CFO Jessica Gaspard, CFO, OakMont Estate Assisted Living",,,,,,,,,,,,,,,,,,,,,http://oakmontassistedliving.com/aboutoakmont.html,http://www.lalaonline.org/members/?id=38831137,,,,,,,,,,,,,,,,,,,,Mansura,,,,,71350,USA,31.0579664,-92.049012,,False
Montclair Park Assisted Living,,,,,,,,,,,,,,,,,,,,,http://Montclair Park Assisted Living,http://www.lalaonline.org/members/?id=25747900,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
"MV Health, LLC",,,,,,,,,,,,,,,,,,,,,http://www.mv-health.com,http://www.lalaonline.org/members/?id=45813913,,,,,,,,,,,,,,,,,,,,Pineville,,,,,71361,USA,35.08320139999999,-80.89229569999999,,False
"Melanie Bond, Montclair Park Assisted Living",,,,,,,,,,,,,,,,,,,,,http://Montclair Park Assisted Living,http://www.lalaonline.org/members/?id=39378538,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
Montclair Park Assisted Living,,,,,,,,,,,,,,,,,,,,,http://Montclair Park Assisted Living,http://www.lalaonline.org/members/?id=25578791,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
Medicine-On-Time,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25580190,,,,,,,,,,,,,,,,,,,,Thonotosassa,,,,,33592,USA,28.0614065,-82.3023128,,False
Marketing with Care,,,,,,,,,,,,,,,,,,,,,http://www.marketingwithcare.com/,http://www.lalaonline.org/members/?id=25647041,,,,,,,,,,,,,,,,,,,,Seal Beach,,,,,90740,USA,33.7414085,-118.1047682,,False
McKesson Medical - Surgical,,,,,,,,,,,,,,,,,,,,,https://mms.mckesson.com/,http://www.lalaonline.org/members/?id=41090291,,,,,,,,,,,,,,,,,,,,"Pinson, AL",,,,,,USA,,,,False
Maison de Fleur Assisted Living,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=37751348,,,,,,,,,,,,,,,,,559 Rushing Rd,,,Denham Springs,,,,,70726,USA,30.4596995,-90.9662351,,True
Magnolia Assisted Living,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25578788,,,,,,,,,,,,,,,,,,,,Gonzales,,,,,70737,USA,30.23852939999999,-90.9200987,,False
"Donna Chauvin, Resident Care Coordinator, Maison de Fleur Assisted Living",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=43901327,,,,,,,,,,,,,,,,,559 Rushing Rd,,,Denham Springs,,,,,70726,USA,30.4596995,-90.9662351,,True
Maison de Fleur,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=44020537,,,,,,,,,,,,,,,,,,,,United States,,,,,,USA,,,,False
Live Oak Village of Hammond,,,,,,,,,,,,,,,,,,,,,http://www.hammondseniorliving.com/,http://www.lalaonline.org/members/?id=25578783,,,,,,,,,,,,,,,,,,,,Hammond,,,,,70403,USA,41.5833688,-87.5000412,,False
LaPlantation Retirement Community,,,,,,,,,,,,,,,,,,,,,http://www.laplantationds.com/,http://www.lalaonline.org/members/?id=25578787,,,,,,,,,,,,,,,,,,,,Denham Springs,,,,,70726,USA,30.48685639999999,-90.95621249999999,,False
